N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,235,-68.28972164382672,-180.11269609121766
100,0.05,0.02,20,0,236,-128.70318264754368,-210.37105623084466
100,0.05,0.02,20,0,237,-162.80151512977633,-230.5128773425148
100,0.05,0.02,20,0,238,-125.88027898781785,-216.0919530806893
100,0.05,0.02,20,0,239,-139.1484996476665,-217.47978830026685
100,0.05,0.02,20,0,240,-133.10405388322278,-226.9182820116036
100,0.05,0.02,20,0,241,-90.89117562233506,-206.9228109851195
100,0.05,0.02,20,0,242,-133.10405388322278,-243.66954284712324
100,0.05,0.02,20,0,243,-132.169905660283,-225.9774699435051
100,0.05,0.02,20,0,244,-170.11985634456667,-225.6566871232462
100,0.05,0.02,20,0,245,-127.75981574503821,-237.24428743577045
100,0.05,0.02,20,0,246,-173.87739763939976,-233.60826141911804
100,0.05,0.02,20,0,247,-129.3846820423443,-201.50140986746712
100,0.05,0.02,20,0,248,-126.8187996428785,-215.82231106695642
100,0.05,0.02,20,0,249,-96.09772228646443,-222.1700581658875
100,0.05,0.02,20,0,250,-128.3482438588474,-209.5946522954259
100,0.05,0.02,20,0,251,-137.53945729601884,-209.79589372055335
100,0.05,0.02,20,0,252,-100.35416188179427,-209.8897166905217
100,0.05,0.02,20,0,253,-141.09772228646443,-229.86390128663498
100,0.05,0.02,20,0,254,12.78889744907202,-184.6005885014296
100,0.05,0.02,20,0,255,-122.48912940721924,-228.28852880781977
100,0.05,0.02,20,0,256,-142.01063709417264,-227.54772466034342
100,0.05,0.02,20,0,257,-136.19691004531023,-215.5462828356424
100,0.05,0.02,20,0,258,-128.70318264754368,-202.31130128679845
100,0.05,0.02,20,0,259,-135.69463863518345,-213.40048155308398
100,0.05,0.02,20,0,260,-132.169905660283,-221.22792715028564
100,0.05,0.02,20,0,261,-125.41522986797287,-220.71914361226226
100,0.05,0.02,20,0,262,-109.92215489043241,-200.37770637897418
100,0.05,0.02,20,0,263,-137.53945729601884,-210.55572059333662
100,0.05,0.02,20,0,264,-133.10405388322278,-218.45190114858372
100,0.05,0.02,20,0,265,-73.41658669218482,-223.98798727132728
100,0.05,0.02,20,0,266,-171.0,-217.3823083795275
100,0.05,0.02,20,0,267,-60.35533905932738,-225.1670785391736
100,0.05,0.02,20,0,268,-142.01063709417264,-217.15266988374745
100,0.05,0.02,20,0,269,-136.61544808322665,-220.0006173397383
100,0.05,0.02,20,0,270,-132.169905660283,-218.70335252134905
100,0.05,0.02,20,0,271,-164.62600113499064,-215.9713244432977
100,0.05,0.02,20,0,272,-127.75981574503821,-220.3407504589037
100,0.05,0.02,20,0,273,-133.10405388322278,-234.78705221122823
100,0.05,0.02,20,0,274,-137.53945729601884,-230.47655697288388
100,0.05,0.02,20,0,275,-126.8187996428785,-229.22048023771538
100,0.05,0.02,20,0,276,-132.169905660283,-231.94276719621365
